"module","xml_name","id","priority","inherit_id","id-2","name","model","key","priority-2","type","arch_db","arch_fs","arch_updated","arch_prev","inherit_id-2","field_parent","mode","active","create_uid","create_date","write_uid","write_date","customize_show","website_meta_title","website_meta_description","website_meta_keywords","website_meta_og_img","seo_name","website_id","track","visibility","visibility_password","theme_template_id"
"web_enterprise","_assets_primary_variables",351,15,212,351,"_assets_primary_variables",NULL,"web_enterprise._assets_primary_variables",15,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_primary_variables"" priority=""15"">
        <xpath expr=""//link[last()]"" position=""after"">
            <link rel=""stylesheet"" type=""text/scss"" href=""/web_enterprise/static/src/scss/primary_variables.scss""/>
        </xpath>
    </data>

    ","web_enterprise/views/webclient_templates.xml",NULL,NULL,212,NULL,"extension",True,1,"2021-03-12 09:31:49.923196",1,"2021-03-12 09:31:49.923196",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"web_editor","_assets_primary_variables",334,16,212,334,"_assets_primary_variables",NULL,"web_editor._assets_primary_variables",16,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_primary_variables"">
    <xpath expr=""//link[last()]"" position=""after"">
        <link rel=""stylesheet"" type=""text/scss"" href=""/web_editor/static/src/scss/web_editor.variables.scss""/>
    </xpath>
</data>

","web_editor/views/editor.xml",NULL,NULL,212,NULL,"extension",True,1,"2021-03-12 09:31:49.546553",1,"2021-03-12 09:31:49.546553",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"mail","_assets_primary_variables",392,16,212,392,"_assets_primary_variables",NULL,"mail._assets_primary_variables",16,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_primary_variables"">
            <xpath expr=""//link[last()]"" position=""after"">
                <link rel=""stylesheet"" type=""text/scss"" href=""/mail/static/src/scss/variables.scss""/>
            </xpath>
        </data>

        ","mail/views/assets.xml",NULL,NULL,212,NULL,"extension",True,1,"2021-03-12 09:31:54.286847",1,"2021-03-12 09:31:54.286847",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"hr_org_chart","_assets_primary_variables",1041,16,212,1041,"_assets_primary_variables",NULL,"hr_org_chart._assets_primary_variables",16,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_primary_variables"">
        <xpath expr=""//link[last()]"" position=""after"">
            <link rel=""stylesheet"" type=""text/scss"" href=""/hr_org_chart/static/src/scss/variables.scss""/>
        </xpath>
    </data>

    ","hr_org_chart/views/hr_templates.xml",NULL,NULL,212,NULL,"extension",True,1,"2021-03-12 09:32:44.913882",1,"2021-03-12 09:32:44.913882",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"portal","_assets_primary_variables",1094,16,212,1094,"_assets_primary_variables",NULL,"portal._assets_primary_variables",16,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_primary_variables"">
        <xpath expr=""//link[last()]"" position=""after"">
            <link rel=""stylesheet"" type=""text/scss"" href=""/portal/static/src/scss/primary_variables.scss""/>
        </xpath>
    </data>
    ","portal/views/assets.xml",NULL,NULL,212,NULL,"extension",True,1,"2021-03-12 09:32:49.783011",1,"2021-03-12 09:32:49.783011",False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"account","_assets_primary_variables",1564,16,212,1564,"_assets_primary_variables",NULL,"account._assets_primary_variables",16,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_primary_variables"">
        <xpath expr=""//link[last()]"" position=""after"">
            <link rel=""stylesheet"" type=""text/scss"" href=""/account/static/src/scss/variables.scss""/>
        </xpath>
    </data>

    ","account/views/account.xml",NULL,NULL,212,NULL,"extension",True,1,"2021-03-12 09:33:19.049417",1,"2021-03-12 09:33:19.049417",False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"marketing_automation","_assets_primary_variables",2764,16,212,2764,"_assets_primary_variables",NULL,"marketing_automation._assets_primary_variables",16,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_primary_variables"">
        <xpath expr=""//link[last()]"" position=""after"">
            <link rel=""stylesheet"" type=""text/scss"" href=""/marketing_automation/static/src/scss/variables.scss""/>
        </xpath>
    </data>

    ","marketing_automation/views/assets.xml",NULL,NULL,212,NULL,"extension",True,1,"2021-03-12 09:34:51.944489",1,"2021-03-12 09:34:51.944489",False,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL
"web_enterprise","_assets_secondary_variables",352,15,213,352,"_assets_secondary_variables",NULL,"web_enterprise._assets_secondary_variables",15,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_secondary_variables"" priority=""15"">
        <xpath expr=""//link"" position=""before"">
            <link rel=""stylesheet"" type=""text/scss"" href=""/web_enterprise/static/src/scss/secondary_variables.scss""/>
        </xpath>
    </data>

    ","web_enterprise/views/webclient_templates.xml",NULL,NULL,213,NULL,"extension",True,1,"2021-03-12 09:31:49.923196",1,"2021-03-12 09:31:49.923196",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"web_editor","_assets_secondary_variables",336,16,213,336,"_assets_secondary_variables",NULL,"web_editor._assets_secondary_variables",16,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_secondary_variables"">
    <xpath expr=""//link"" position=""before"">
        <link rel=""stylesheet"" type=""text/scss"" href=""/web_editor/static/src/scss/secondary_variables.scss""/>
    </xpath>
</data>

","web_editor/views/editor.xml",NULL,NULL,213,NULL,"extension",True,1,"2021-03-12 09:31:49.546553",1,"2021-03-12 09:31:49.546553",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"web_enterprise","_assets_backend_helpers",353,15,215,353,"_assets_backend_helpers",NULL,"web_enterprise._assets_backend_helpers",15,"qweb","<?xml version=""1.0""?>
<data inherit_id=""web._assets_backend_helpers"" priority=""15"">
        <xpath expr=""//link[@href='/web/static/src/scss/bootstrap_overridden.scss']"" position=""replace"">
            <link rel=""stylesheet"" type=""text/scss"" href=""/web_enterprise/static/src/scss/bootstrap_overridden.scss""/>
        </xpath>
    </data>

    ","web_enterprise/views/webclient_templates.xml",NULL,NULL,215,NULL,"extension",True,1,"2021-03-12 09:31:49.923196",1,"2021-03-12 09:31:49.923196",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
